"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","240050009","4","29.9","ppb","27","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/02/2020","AQS","240050009","4","32.4","ppb","30","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/03/2020","AQS","240050009","4","24.3","ppb","23","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/04/2020","AQS","240050009","4","21","ppb","20","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/05/2020","AQS","240050009","4","29.2","ppb","27","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/06/2020","AQS","240050009","4","32.2","ppb","30","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/07/2020","AQS","240050009","4","35.2","ppb","33","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/08/2020","AQS","240050009","4","27.9","ppb","25","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/09/2020","AQS","240050009","4","32.5","ppb","30","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/10/2020","AQS","240050009","4","28.9","ppb","26","","23","96.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/11/2020","AQS","240050009","4","25.6","ppb","24","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/12/2020","AQS","240050009","4","17.5","ppb","16","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/13/2020","AQS","240050009","4","22.9","ppb","21","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/14/2020","AQS","240050009","4","21.8","ppb","20","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/15/2020","AQS","240050009","4","23.3","ppb","22","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/16/2020","AQS","240050009","4","16.7","ppb","15","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/17/2020","AQS","240050009","4","30.4","ppb","28","","22","92.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/18/2020","AQS","240050009","4","24.8","ppb","23","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/19/2020","AQS","240050009","4","12.4","ppb","11","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/20/2020","AQS","240050009","4","33","ppb","31","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/21/2020","AQS","240050009","4","33.7","ppb","31","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/22/2020","AQS","240050009","4","36.9","ppb","34","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/23/2020","AQS","240050009","4","47.9","ppb","44","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/24/2020","AQS","240050009","4","31.7","ppb","29","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/25/2020","AQS","240050009","4","21","ppb","20","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/26/2020","AQS","240050009","4","25.1","ppb","24","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/27/2020","AQS","240050009","4","28.9","ppb","26","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/28/2020","AQS","240050009","4","18.1","ppb","17","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/29/2020","AQS","240050009","4","34","ppb","32","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/30/2020","AQS","240050009","4","33.4","ppb","31","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/31/2020","AQS","240050009","4","31.1","ppb","29","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/01/2020","AQS","240050009","4","21.5","ppb","20","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/02/2020","AQS","240050009","4","23.4","ppb","22","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/03/2020","AQS","240050009","4","37.4","ppb","35","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/04/2020","AQS","240050009","4","34.6","ppb","32","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/05/2020","AQS","240050009","4","22.9","ppb","21","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/06/2020","AQS","240050009","4","25.1","ppb","24","","21","88.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/07/2020","AQS","240050009","4","20.7","ppb","19","","21","88.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/08/2020","AQS","240050009","4","29.9","ppb","27","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/09/2020","AQS","240050009","4","24.5","ppb","23","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/10/2020","AQS","240050009","4","23.5","ppb","22","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/11/2020","AQS","240050009","4","25.8","ppb","24","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/12/2020","AQS","240050009","4","27.9","ppb","25","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/13/2020","AQS","240050009","4","20","ppb","19","","23","96.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/14/2020","AQS","240050009","4","18.9","ppb","17","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/15/2020","AQS","240050009","4","24.6","ppb","23","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/16/2020","AQS","240050009","4","30.5","ppb","28","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/17/2020","AQS","240050009","4","35.6","ppb","33","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/18/2020","AQS","240050009","4","35.5","ppb","33","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/19/2020","AQS","240050009","4","25.3","ppb","24","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/20/2020","AQS","240050009","4","36.5","ppb","34","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/21/2020","AQS","240050009","4","36.1","ppb","34","","22","92.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/22/2020","AQS","240050009","4","36.6","ppb","34","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/23/2020","AQS","240050009","4","37.2","ppb","35","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/24/2020","AQS","240050009","4","37.6","ppb","35","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/25/2020","AQS","240050009","4","19.4","ppb","18","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/26/2020","AQS","240050009","4","14.9","ppb","13","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/27/2020","AQS","240050009","4","8.6","ppb","8","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/28/2020","AQS","240050009","4","25.3","ppb","24","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/29/2020","AQS","240050009","4","20","ppb","19","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/01/2020","AQS","240050009","4","31.9","ppb","29","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/02/2020","AQS","240050009","4","33.8","ppb","31","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/03/2020","AQS","240050009","4","29.8","ppb","27","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/04/2020","AQS","240050009","4","32.9","ppb","30","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/05/2020","AQS","240050009","4","35.6","ppb","33","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/06/2020","AQS","240050009","4","32.1","ppb","30","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/07/2020","AQS","240050009","4","28.9","ppb","26","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/12/2020","AQS","240050009","4","24.6","ppb","23","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/13/2020","AQS","240050009","4","20.9","ppb","19","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/14/2020","AQS","240050009","4","16.9","ppb","15","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/15/2020","AQS","240050009","4","27","ppb","25","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/16/2020","AQS","240050009","4","23.9","ppb","22","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/17/2020","AQS","240050009","4","13.6","ppb","12","","23","96.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/18/2020","AQS","240050009","4","33.6","ppb","31","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/19/2020","AQS","240050009","4","21.9","ppb","20","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/20/2020","AQS","240050009","4","17.8","ppb","16","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/21/2020","AQS","240050009","4","8.2","ppb","8","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/22/2020","AQS","240050009","4","8.4","ppb","8","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/23/2020","AQS","240050009","4","19.2","ppb","18","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/24/2020","AQS","240050009","4","22.4","ppb","21","","23","96.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/25/2020","AQS","240050009","4","21.7","ppb","20","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/26/2020","AQS","240050009","4","22.6","ppb","21","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/27/2020","AQS","240050009","4","28.6","ppb","26","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/28/2020","AQS","240050009","4","27.3","ppb","25","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/29/2020","AQS","240050009","4","11.6","ppb","10","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/30/2020","AQS","240050009","4","14.8","ppb","13","","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/31/2020","AQS","240050009","4","28.7","ppb","26","","23","96.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/01/2020","AQS","240053001","4","30.4","ppb","28","Essex","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"01/02/2020","AQS","240053001","4","32.2","ppb","30","Essex","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"01/03/2020","AQS","240053001","4","25.2","ppb","24","Essex","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"01/04/2020","AQS","240053001","4","18.3","ppb","17","Essex","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"01/05/2020","AQS","240053001","4","26.3","ppb","25","Essex","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"01/06/2020","AQS","240053001","4","31.1","ppb","29","Essex","23","96.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"01/23/2020","AQS","240053001","4","36.1","ppb","34","Essex","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"01/24/2020","AQS","240053001","4","30.4","ppb","28","Essex","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"01/25/2020","AQS","240053001","4","22.8","ppb","21","Essex","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"01/26/2020","AQS","240053001","4","20","ppb","19","Essex","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"01/27/2020","AQS","240053001","4","31.9","ppb","29","Essex","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"01/28/2020","AQS","240053001","4","9.3","ppb","8","Essex","23","96.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"01/29/2020","AQS","240053001","4","28.7","ppb","26","Essex","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"01/30/2020","AQS","240053001","4","34.6","ppb","32","Essex","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"01/31/2020","AQS","240053001","4","33.7","ppb","31","Essex","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"02/01/2020","AQS","240053001","4","24.6","ppb","23","Essex","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"02/02/2020","AQS","240053001","4","21.9","ppb","20","Essex","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"02/03/2020","AQS","240053001","4","29","ppb","27","Essex","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"02/04/2020","AQS","240053001","4","36.6","ppb","34","Essex","23","96.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"02/05/2020","AQS","240053001","4","23.6","ppb","22","Essex","23","96.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"02/06/2020","AQS","240053001","4","17.7","ppb","16","Essex","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"02/07/2020","AQS","240053001","4","11.9","ppb","10","Essex","23","96.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"02/08/2020","AQS","240053001","4","31.9","ppb","29","Essex","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"02/09/2020","AQS","240053001","4","29.8","ppb","27","Essex","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"02/10/2020","AQS","240053001","4","24.3","ppb","23","Essex","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"02/11/2020","AQS","240053001","4","25.4","ppb","24","Essex","23","96.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
"02/12/2020","AQS","240053001","4","19.6","ppb","18","Essex","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.310833","-76.474444"
